"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 08 22:00:34 SAMT 2023","Sun Jan 08 22:00:39 SAMT 2023","5597","","TestTestNoRun","","TestTestNoRun","test2","test2()",""
"broken","Mon Jan 09 18:39:28 SAMT 2023","Mon Jan 09 18:39:58 SAMT 2023","30188","","TestTestNoRun","","TestTestNoRun","test","test()",""
"passed","Sat Jan 07 18:11:51 SAMT 2023","Sat Jan 07 18:12:03 SAMT 2023","12509","","ClickCourseMenuTest","","ClickCourseMenuTest","checkBorder","checkBorder()",""
"passed","Mon Jan 09 19:48:03 SAMT 2023","Mon Jan 09 19:48:57 SAMT 2023","53729","","MaxValueTest","","MaxValueTest","test","test()",""
"passed","Sat Jan 07 18:05:50 SAMT 2023","Sat Jan 07 18:06:22 SAMT 2023","32154","","CheckRedBorderTest","","CheckRedBorderTest","checkBorder","checkBorder()",""
"passed","Mon Jan 09 19:24:03 SAMT 2023","Mon Jan 09 19:25:01 SAMT 2023","58148","","MinValueTest","","MinValueTest","test","test()",""
"broken","Mon Apr 17 21:29:15 SAMT 2023","Mon Apr 17 21:30:31 SAMT 2023","75435","","MaxValueTest","","MaxValueTest","maxValueTest","maxValueTest()",""
"broken","Sat Jan 07 13:25:23 SAMT 2023","Sat Jan 07 13:26:26 SAMT 2023","62421","","ClickCourseMenuTest","","ClickCourseMenuTest","clickCategoryMenuItem","clickCategoryMenuItem()",""
"passed","Mon Apr 17 23:54:03 SAMT 2023","Mon Apr 17 23:56:27 SAMT 2023","144243","","ClickCourseMenuTest","","ClickCourseMenuTest","clickCourseMenuTest","clickCourseMenuTest()",""
"failed","Mon Apr 17 23:08:48 SAMT 2023","Mon Apr 17 23:10:34 SAMT 2023","106092","","ClickCategoryMenuTest","","ClickCategoryMenuTest","clickCategoryMenuItem","clickCategoryMenuItem()",""
"passed","Sun Jan 08 12:24:51 SAMT 2023","Sun Jan 08 12:25:26 SAMT 2023","35085","","ClickCourseMenuTest","","ClickCourseMenuTest","clickCourseMenuTest2","clickCourseMenuTest2()",""
"broken","Sun Jan 08 13:00:40 SAMT 2023","Sun Jan 08 13:00:46 SAMT 2023","5445","","TestTestNoRun","","TestTestNoRun","checkBorder3","checkBorder3()",""
"broken","Mon Apr 17 21:30:31 SAMT 2023","Mon Apr 17 21:31:42 SAMT 2023","71396","","MinValueTest","","MinValueTest","minValueTest","minValueTest()",""
"passed","Sun Feb 26 12:59:46 SAMT 2023","Sun Feb 26 13:00:38 SAMT 2023","51491","","","","","","Правильное отображение заголовка",""
